1912:Cell_i_j;1912:Cell_i_j_1;1912:Cell_i_j_2;1912:i;1912:j;1960:Cell_i_j;1960:Cell_i_j_1;1960:Cell_i_j_2;1960:i;1960:j
3480:2024-12-19 12:52:47;4110:2024-12-19 12:52:47;3627:2024-12-19 12:52:47;6:2024-12-19 12:52:47;6:2024-12-19 12:52:47;449:2024-12-19 12:52:47;379:2024-12-19 12:52:47;397:2024-12-19 12:52:47;2:2024-12-19 12:52:47;3:2024-12-19 12:52:47
3975:2024-12-19 12:52:47;3359:2024-12-19 12:52:47;3413:2024-12-19 12:52:47;6:2024-12-19 12:52:47;9:2024-12-19 12:52:47;406:2024-12-19 12:52:47;340:2024-12-19 12:52:47;439:2024-12-19 12:52:47;2:2024-12-19 12:52:47;6:2024-12-19 12:52:47
3777:2024-12-19 12:52:47;3289:2024-12-19 12:52:47;3222:2024-12-19 12:52:47;6:2024-12-19 12:52:47;12:2024-12-19 12:52:47;315:2024-12-19 12:52:47;353:2024-12-19 12:52:47;277:2024-12-19 12:52:47;2:2024-12-19 12:52:47;9:2024-12-19 12:52:47
3651:2024-12-19 12:52:47;3928:2024-12-19 12:52:47;3480:2024-12-19 12:52:47;6:2024-12-19 12:52:47;15:2024-12-19 12:52:47;340:2024-12-19 12:52:47;224:2024-12-19 12:52:47;329:2024-12-19 12:52:47;2:2024-12-19 12:52:47;12:2024-12-19 12:52:47
4073:2024-12-19 12:52:47;3816:2024-12-19 12:52:47;3136:2024-12-19 12:52:47;7:2024-12-19 12:52:47;0:2024-12-19 12:52:47;381:2024-12-19 12:52:47;430:2024-12-19 12:52:47;399:2024-12-19 12:52:47;2:2024-12-19 12:52:47;15:2024-12-19 12:52:47
3691:2024-12-19 12:52:47;3957:2024-12-19 12:52:47;3724:2024-12-19 12:52:47;7:2024-12-19 12:52:47;3:2024-12-19 12:52:47;347:2024-12-19 12:52:47;424:2024-12-19 12:52:47;356:2024-12-19 12:52:47;3:2024-12-19 12:52:47;0:2024-12-19 12:52:47
3382:2024-12-19 12:52:47;4057:2024-12-19 12:52:47;3481:2024-12-19 12:52:47;7:2024-12-19 12:52:47;6:2024-12-19 12:52:47;229:2024-12-19 12:52:47;226:2024-12-19 12:52:47;432:2024-12-19 12:52:47;3:2024-12-19 12:52:47;3:2024-12-19 12:52:47
3200:2024-12-19 12:52:47;3425:2024-12-19 12:52:47;3041:2024-12-19 12:52:47;7:2024-12-19 12:52:47;9:2024-12-19 12:52:47;381:2024-12-19 12:52:47;209:2024-12-19 12:52:47;391:2024-12-19 12:52:47;3:2024-12-19 12:52:47;6:2024-12-19 12:52:47
4105:2024-12-19 12:52:47;3124:2024-12-19 12:52:47;4052:2024-12-19 12:52:47;7:2024-12-19 12:52:47;12:2024-12-19 12:52:47;201:2024-12-19 12:52:47;205:2024-12-19 12:52:47;238:2024-12-19 12:52:47;3:2024-12-19 12:52:47;9:2024-12-19 12:52:47
3494:2024-12-19 12:52:47;3345:2024-12-19 12:52:47;3158:2024-12-19 12:52:47;7:2024-12-19 12:52:47;15:2024-12-19 12:52:47;267:2024-12-19 12:52:47;289:2024-12-19 12:52:47;414:2024-12-19 12:52:47;3:2024-12-19 12:52:47;12:2024-12-19 12:52:47
4019:2024-12-19 12:52:47;3036:2024-12-19 12:52:47;4039:2024-12-19 12:52:47;0:2024-12-19 12:52:47;0:2024-12-19 12:52:47;283:2024-12-19 12:52:47;242:2024-12-19 12:52:47;440:2024-12-19 12:52:47;3:2024-12-19 12:52:47;15:2024-12-19 12:52:47
3538:2024-12-19 12:52:47;3210:2024-12-19 12:52:47;3728:2024-12-19 12:52:47;0:2024-12-19 12:52:47;3:2024-12-19 12:52:47;406:2024-12-19 12:52:47;343:2024-12-19 12:52:47;212:2024-12-19 12:52:47;4:2024-12-19 12:52:47;0:2024-12-19 12:52:47
4143:2024-12-19 12:52:47;3764:2024-12-19 12:52:47;3179:2024-12-19 12:52:47;0:2024-12-19 12:52:47;6:2024-12-19 12:52:47;288:2024-12-19 12:52:47;254:2024-12-19 12:52:47;415:2024-12-19 12:52:47;4:2024-12-19 12:52:47;3:2024-12-19 12:52:47
4065:2024-12-19 12:52:47;3017:2024-12-19 12:52:47;3798:2024-12-19 12:52:47;0:2024-12-19 12:52:47;9:2024-12-19 12:52:47;306:2024-12-19 12:52:47;318:2024-12-19 12:52:47;276:2024-12-19 12:52:47;4:2024-12-19 12:52:47;6:2024-12-19 12:52:47
4066:2024-12-19 12:52:47;3876:2024-12-19 12:52:47;3472:2024-12-19 12:52:47;0:2024-12-19 12:52:47;12:2024-12-19 12:52:47;446:2024-12-19 12:52:47;421:2024-12-19 12:52:47;322:2024-12-19 12:52:47;4:2024-12-19 12:52:47;9:2024-12-19 12:52:47
3632:2024-12-19 12:52:47;3363:2024-12-19 12:52:47;3516:2024-12-19 12:52:47;0:2024-12-19 12:52:47;15:2024-12-19 12:52:47;416:2024-12-19 12:52:47;218:2024-12-19 12:52:47;335:2024-12-19 12:52:47;4:2024-12-19 12:52:47;12:2024-12-19 12:52:47
3891:2024-12-19 12:52:47;3924:2024-12-19 12:52:47;3652:2024-12-19 12:52:47;1:2024-12-19 12:52:47;0:2024-12-19 12:52:47;202:2024-12-19 12:52:47;289:2024-12-19 12:52:47;300:2024-12-19 12:52:47;4:2024-12-19 12:52:47;15:2024-12-19 12:52:47
3117:2024-12-19 12:52:47;3375:2024-12-19 12:52:47;3753:2024-12-19 12:52:47;1:2024-12-19 12:52:47;3:2024-12-19 12:52:47;249:2024-12-19 12:52:47;437:2024-12-19 12:52:47;274:2024-12-19 12:52:47;5:2024-12-19 12:52:47;0:2024-12-19 12:52:47
3866:2024-12-19 12:52:47;3032:2024-12-19 12:52:47;3700:2024-12-19 12:52:47;1:2024-12-19 12:52:47;6:2024-12-19 12:52:47;285:2024-12-19 12:52:47;382:2024-12-19 12:52:47;313:2024-12-19 12:52:47;5:2024-12-19 12:52:47;3:2024-12-19 12:52:47
3681:2024-12-19 12:52:47;3395:2024-12-19 12:52:47;3900:2024-12-19 12:52:47;1:2024-12-19 12:52:47;9:2024-12-19 12:52:47;391:2024-12-19 12:52:47;365:2024-12-19 12:52:47;424:2024-12-19 12:52:47;5:2024-12-19 12:52:47;6:2024-12-19 12:52:47
3406:2024-12-19 12:52:47;3699:2024-12-19 12:52:47;3689:2024-12-19 12:52:47;1:2024-12-19 12:52:47;12:2024-12-19 12:52:47;382:2024-12-19 12:52:47;322:2024-12-19 12:52:47;292:2024-12-19 12:52:47;5:2024-12-19 12:52:47;9:2024-12-19 12:52:47
3613:2024-12-19 12:52:47;3689:2024-12-19 12:52:47;3720:2024-12-19 12:52:47;1:2024-12-19 12:52:47;15:2024-12-19 12:52:47;400:2024-12-19 12:52:47;333:2024-12-19 12:52:47;213:2024-12-19 12:52:47;5:2024-12-19 12:52:47;12:2024-12-19 12:52:47
3318:2024-12-19 12:52:47;3233:2024-12-19 12:52:47;3519:2024-12-19 12:52:47;2:2024-12-19 12:52:47;0:2024-12-19 12:52:47;212:2024-12-19 12:52:47;268:2024-12-19 12:52:47;371:2024-12-19 12:52:47;5:2024-12-19 12:52:47;15:2024-12-19 12:52:47
3378:2024-12-19 12:52:47;3365:2024-12-19 12:52:47;4003:2024-12-19 12:52:47;2:2024-12-19 12:52:47;3:2024-12-19 12:52:47;324:2024-12-19 12:52:47;395:2024-12-19 12:52:47;206:2024-12-19 12:52:47;6:2024-12-19 12:52:47;0:2024-12-19 12:52:47
3460:2024-12-19 12:52:47;4094:2024-12-19 12:52:47;3851:2024-12-19 12:52:47;2:2024-12-19 12:52:47;6:2024-12-19 12:52:47;336:2024-12-19 12:52:47;309:2024-12-19 12:52:47;367:2024-12-19 12:52:47;6:2024-12-19 12:52:47;3:2024-12-19 12:52:47
3489:2024-12-19 12:52:47;4120:2024-12-19 12:52:47;4135:2024-12-19 12:52:47;2:2024-12-19 12:52:47;9:2024-12-19 12:52:47;204:2024-12-19 12:52:47;300:2024-12-19 12:52:47;358:2024-12-19 12:52:47;6:2024-12-19 12:52:47;6:2024-12-19 12:52:47
3236:2024-12-19 12:52:47;4029:2024-12-19 12:52:47;3105:2024-12-19 12:52:47;2:2024-12-19 12:52:47;12:2024-12-19 12:52:47;442:2024-12-19 12:52:47;404:2024-12-19 12:52:47;325:2024-12-19 12:52:47;6:2024-12-19 12:52:47;9:2024-12-19 12:52:47
3598:2024-12-19 12:52:47;3944:2024-12-19 12:52:47;3651:2024-12-19 12:52:47;2:2024-12-19 12:52:47;15:2024-12-19 12:52:47;214:2024-12-19 12:52:47;202:2024-12-19 12:52:47;301:2024-12-19 12:52:47;6:2024-12-19 12:52:47;12:2024-12-19 12:52:47
4129:2024-12-19 12:52:47;3539:2024-12-19 12:52:47;3562:2024-12-19 12:52:47;3:2024-12-19 12:52:47;0:2024-12-19 12:52:47;386:2024-12-19 12:52:47;367:2024-12-19 12:52:47;312:2024-12-19 12:52:47;6:2024-12-19 12:52:47;15:2024-12-19 12:52:47
3404:2024-12-19 12:52:47;4072:2024-12-19 12:52:47;3970:2024-12-19 12:52:47;3:2024-12-19 12:52:47;3:2024-12-19 12:52:47;279:2024-12-19 12:52:47;315:2024-12-19 12:52:47;278:2024-12-19 12:52:47;7:2024-12-19 12:52:47;0:2024-12-19 12:52:47
4097:2024-12-19 12:52:47;3912:2024-12-19 12:52:47;3327:2024-12-19 12:52:47;3:2024-12-19 12:52:47;6:2024-12-19 12:52:47;393:2024-12-19 12:52:47;311:2024-12-19 12:52:47;250:2024-12-19 12:52:47;7:2024-12-19 12:52:47;3:2024-12-19 12:52:47
3899:2024-12-19 12:52:47;3661:2024-12-19 12:52:47;3048:2024-12-19 12:52:47;3:2024-12-19 12:52:47;9:2024-12-19 12:52:47;357:2024-12-19 12:52:47;302:2024-12-19 12:52:47;341:2024-12-19 12:52:47;7:2024-12-19 12:52:47;6:2024-12-19 12:52:47
3485:2024-12-19 12:52:47;3667:2024-12-19 12:52:47;4040:2024-12-19 12:52:47;3:2024-12-19 12:52:47;12:2024-12-19 12:52:47;331:2024-12-19 12:52:47;224:2024-12-19 12:52:47;266:2024-12-19 12:52:47;7:2024-12-19 12:52:47;9:2024-12-19 12:52:47
3899:2024-12-19 12:52:47;4169:2024-12-19 12:52:47;3674:2024-12-19 12:52:47;3:2024-12-19 12:52:47;15:2024-12-19 12:52:47;408:2024-12-19 12:52:47;388:2024-12-19 12:52:47;396:2024-12-19 12:52:47;7:2024-12-19 12:52:47;12:2024-12-19 12:52:47
4194:2024-12-19 12:52:47;3131:2024-12-19 12:52:47;3030:2024-12-19 12:52:47;4:2024-12-19 12:52:47;0:2024-12-19 12:52:47;238:2024-12-19 12:52:47;438:2024-12-19 12:52:47;304:2024-12-19 12:52:47;7:2024-12-19 12:52:47;15:2024-12-19 12:52:47
3985:2024-12-19 12:52:47;3533:2024-12-19 12:52:47;3772:2024-12-19 12:52:47;4:2024-12-19 12:52:47;3:2024-12-19 12:52:47;417:2024-12-19 12:52:47;322:2024-12-19 12:52:47;429:2024-12-19 12:52:47;0:2024-12-19 12:52:47;0:2024-12-19 12:52:47
3821:2024-12-19 12:52:47;3367:2024-12-19 12:52:47;3057:2024-12-19 12:52:47;4:2024-12-19 12:52:47;6:2024-12-19 12:52:47;390:2024-12-19 12:52:47;420:2024-12-19 12:52:47;418:2024-12-19 12:52:47;0:2024-12-19 12:52:47;3:2024-12-19 12:52:47
3626:2024-12-19 12:52:47;3723:2024-12-19 12:52:47;3271:2024-12-19 12:52:47;4:2024-12-19 12:52:47;9:2024-12-19 12:52:47;202:2024-12-19 12:52:47;320:2024-12-19 12:52:47;307:2024-12-19 12:52:47;0:2024-12-19 12:52:47;6:2024-12-19 12:52:47
3918:2024-12-19 12:52:47;3628:2024-12-19 12:52:47;3273:2024-12-19 12:52:47;4:2024-12-19 12:52:47;12:2024-12-19 12:52:47;413:2024-12-19 12:52:47;418:2024-12-19 12:52:47;278:2024-12-19 12:52:47;0:2024-12-19 12:52:47;9:2024-12-19 12:52:47
3127:2024-12-19 12:52:47;4088:2024-12-19 12:52:47;3021:2024-12-19 12:52:47;4:2024-12-19 12:52:47;15:2024-12-19 12:52:47;254:2024-12-19 12:52:47;294:2024-12-19 12:52:47;321:2024-12-19 12:52:47;0:2024-12-19 12:52:47;12:2024-12-19 12:52:47
4011:2024-12-19 12:52:47;3063:2024-12-19 12:52:47;4040:2024-12-19 12:52:47;5:2024-12-19 12:52:47;0:2024-12-19 12:52:47;310:2024-12-19 12:52:47;363:2024-12-19 12:52:47;441:2024-12-19 12:52:47;0:2024-12-19 12:52:47;15:2024-12-19 12:52:47
3161:2024-12-19 12:52:47;4079:2024-12-19 12:52:47;3446:2024-12-19 12:52:47;5:2024-12-19 12:52:47;3:2024-12-19 12:52:47;418:2024-12-19 12:52:47;321:2024-12-19 12:52:47;426:2024-12-19 12:52:47;1:2024-12-19 12:52:47;0:2024-12-19 12:52:47
3766:2024-12-19 12:52:47;3620:2024-12-19 12:52:47;4074:2024-12-19 12:52:47;5:2024-12-19 12:52:47;6:2024-12-19 12:52:47;378:2024-12-19 12:52:47;228:2024-12-19 12:52:47;356:2024-12-19 12:52:47;1:2024-12-19 12:52:47;3:2024-12-19 12:52:47
3076:2024-12-19 12:52:47;3791:2024-12-19 12:52:47;4113:2024-12-19 12:52:47;5:2024-12-19 12:52:47;9:2024-12-19 12:52:47;407:2024-12-19 12:52:47;235:2024-12-19 12:52:47;299:2024-12-19 12:52:47;1:2024-12-19 12:52:47;6:2024-12-19 12:52:47
3922:2024-12-19 12:52:47;3014:2024-12-19 12:52:47;3127:2024-12-19 12:52:47;5:2024-12-19 12:52:47;12:2024-12-19 12:52:47;438:2024-12-19 12:52:47;235:2024-12-19 12:52:47;420:2024-12-19 12:52:47;1:2024-12-19 12:52:47;9:2024-12-19 12:52:47
3223:2024-12-19 12:52:47;3831:2024-12-19 12:52:47;3907:2024-12-19 12:52:47;5:2024-12-19 12:52:47;15:2024-12-19 12:52:47;353:2024-12-19 12:52:47;279:2024-12-19 12:52:47;367:2024-12-19 12:52:47;1:2024-12-19 12:52:47;12:2024-12-19 12:52:47
4088:2024-12-19 12:52:47;3335:2024-12-19 12:52:47;3890:2024-12-19 12:52:47;6:2024-12-19 12:52:47;0:2024-12-19 12:52:47;217:2024-12-19 12:52:47;348:2024-12-19 12:52:47;217:2024-12-19 12:52:47;1:2024-12-19 12:52:47;15:2024-12-19 12:52:47
3268:2024-12-19 12:52:47;3810:2024-12-19 12:52:47;3641:2024-12-19 12:52:47;6:2024-12-19 12:52:47;3:2024-12-19 12:52:47;343:2024-12-19 12:52:47;287:2024-12-19 12:52:47;287:2024-12-19 12:52:47;2:2024-12-19 12:52:47;0:2024-12-19 12:52:47
3480:2024-12-19 12:52:47;4110:2024-12-19 12:52:47;3627:2024-12-19 12:52:47;6:2024-12-19 12:52:47;6:2024-12-19 12:52:47;449:2024-12-19 12:52:47;379:2024-12-19 12:52:47;397:2024-12-19 12:52:47;2:2024-12-19 12:52:47;3:2024-12-19 12:52:47
3975:2024-12-19 12:52:47;3359:2024-12-19 12:52:47;3413:2024-12-19 12:52:47;6:2024-12-19 12:52:47;9:2024-12-19 12:52:47;406:2024-12-19 12:52:47;340:2024-12-19 12:52:47;439:2024-12-19 12:52:47;2:2024-12-19 12:52:47;6:2024-12-19 12:52:47
3777:2024-12-19 12:52:47;3289:2024-12-19 12:52:47;3222:2024-12-19 12:52:47;6:2024-12-19 12:52:47;12:2024-12-19 12:52:47;315:2024-12-19 12:52:47;353:2024-12-19 12:52:47;277:2024-12-19 12:52:47;2:2024-12-19 12:52:47;9:2024-12-19 12:52:47
3651:2024-12-19 12:52:47;3928:2024-12-19 12:52:47;3480:2024-12-19 12:52:47;6:2024-12-19 12:52:47;15:2024-12-19 12:52:47;340:2024-12-19 12:52:47;224:2024-12-19 12:52:47;329:2024-12-19 12:52:47;2:2024-12-19 12:52:47;12:2024-12-19 12:52:47
4073:2024-12-19 12:52:47;3816:2024-12-19 12:52:47;3136:2024-12-19 12:52:47;7:2024-12-19 12:52:47;0:2024-12-19 12:52:47;381:2024-12-19 12:52:47;430:2024-12-19 12:52:47;399:2024-12-19 12:52:47;2:2024-12-19 12:52:47;15:2024-12-19 12:52:47
3691:2024-12-19 12:52:47;3957:2024-12-19 12:52:47;3724:2024-12-19 12:52:47;7:2024-12-19 12:52:47;3:2024-12-19 12:52:47;347:2024-12-19 12:52:47;424:2024-12-19 12:52:47;356:2024-12-19 12:52:47;3:2024-12-19 12:52:47;0:2024-12-19 12:52:47
3382:2024-12-19 12:52:47;4057:2024-12-19 12:52:47;3481:2024-12-19 12:52:47;7:2024-12-19 12:52:47;6:2024-12-19 12:52:47;229:2024-12-19 12:52:47;226:2024-12-19 12:52:47;432:2024-12-19 12:52:47;3:2024-12-19 12:52:47;3:2024-12-19 12:52:47
3200:2024-12-19 12:52:47;3425:2024-12-19 12:52:47;3041:2024-12-19 12:52:47;7:2024-12-19 12:52:47;9:2024-12-19 12:52:47;381:2024-12-19 12:52:47;209:2024-12-19 12:52:47;391:2024-12-19 12:52:47;3:2024-12-19 12:52:47;6:2024-12-19 12:52:47
4105:2024-12-19 12:52:47;3124:2024-12-19 12:52:47;4052:2024-12-19 12:52:47;7:2024-12-19 12:52:47;12:2024-12-19 12:52:47;201:2024-12-19 12:52:47;205:2024-12-19 12:52:47;238:2024-12-19 12:52:47;3:2024-12-19 12:52:47;9:2024-12-19 12:52:47
3494:2024-12-19 12:52:47;3345:2024-12-19 12:52:47;3158:2024-12-19 12:52:47;7:2024-12-19 12:52:47;15:2024-12-19 12:52:47;267:2024-12-19 12:52:47;289:2024-12-19 12:52:47;414:2024-12-19 12:52:47;3:2024-12-19 12:52:47;12:2024-12-19 12:52:47
4019:2024-12-19 12:52:47;3036:2024-12-19 12:52:47;4039:2024-12-19 12:52:47;0:2024-12-19 12:52:47;0:2024-12-19 12:52:47;283:2024-12-19 12:52:47;242:2024-12-19 12:52:47;440:2024-12-19 12:52:47;3:2024-12-19 12:52:47;15:2024-12-19 12:52:47
3538:2024-12-19 12:52:47;3210:2024-12-19 12:52:47;3728:2024-12-19 12:52:47;0:2024-12-19 12:52:47;3:2024-12-19 12:52:47;406:2024-12-19 12:52:47;343:2024-12-19 12:52:47;212:2024-12-19 12:52:47;4:2024-12-19 12:52:47;0:2024-12-19 12:52:47
4143:2024-12-19 12:52:47;3764:2024-12-19 12:52:47;3179:2024-12-19 12:52:47;0:2024-12-19 12:52:47;6:2024-12-19 12:52:47;288:2024-12-19 12:52:47;254:2024-12-19 12:52:47;415:2024-12-19 12:52:47;4:2024-12-19 12:52:47;3:2024-12-19 12:52:47
4065:2024-12-19 12:52:47;3017:2024-12-19 12:52:47;3798:2024-12-19 12:52:47;0:2024-12-19 12:52:47;9:2024-12-19 12:52:47;306:2024-12-19 12:52:47;318:2024-12-19 12:52:47;276:2024-12-19 12:52:47;4:2024-12-19 12:52:47;6:2024-12-19 12:52:47
4066:2024-12-19 12:52:47;3876:2024-12-19 12:52:47;3472:2024-12-19 12:52:47;0:2024-12-19 12:52:47;12:2024-12-19 12:52:47;446:2024-12-19 12:52:47;421:2024-12-19 12:52:47;322:2024-12-19 12:52:47;4:2024-12-19 12:52:47;9:2024-12-19 12:52:47
3632:2024-12-19 12:52:47;3363:2024-12-19 12:52:47;3516:2024-12-19 12:52:47;0:2024-12-19 12:52:47;15:2024-12-19 12:52:47;416:2024-12-19 12:52:47;218:2024-12-19 12:52:47;335:2024-12-19 12:52:47;4:2024-12-19 12:52:47;12:2024-12-19 12:52:47
3891:2024-12-19 12:52:47;3924:2024-12-19 12:52:47;3652:2024-12-19 12:52:47;1:2024-12-19 12:52:47;0:2024-12-19 12:52:47;202:2024-12-19 12:52:47;289:2024-12-19 12:52:47;300:2024-12-19 12:52:47;4:2024-12-19 12:52:47;15:2024-12-19 12:52:47
3117:2024-12-19 12:52:47;3375:2024-12-19 12:52:47;3753:2024-12-19 12:52:47;1:2024-12-19 12:52:47;3:2024-12-19 12:52:47;249:2024-12-19 12:52:47;437:2024-12-19 12:52:47;274:2024-12-19 12:52:47;5:2024-12-19 12:52:47;0:2024-12-19 12:52:47
3866:2024-12-19 12:52:47;3032:2024-12-19 12:52:47;3700:2024-12-19 12:52:47;1:2024-12-19 12:52:47;6:2024-12-19 12:52:47;285:2024-12-19 12:52:47;382:2024-12-19 12:52:47;313:2024-12-19 12:52:47;5:2024-12-19 12:52:47;3:2024-12-19 12:52:47
3681:2024-12-19 12:52:47;3395:2024-12-19 12:52:47;3900:2024-12-19 12:52:47;1:2024-12-19 12:52:47;9:2024-12-19 12:52:47;391:2024-12-19 12:52:47;365:2024-12-19 12:52:47;424:2024-12-19 12:52:47;5:2024-12-19 12:52:47;6:2024-12-19 12:52:47
3406:2024-12-19 12:52:47;3699:2024-12-19 12:52:47;3689:2024-12-19 12:52:47;1:2024-12-19 12:52:47;12:2024-12-19 12:52:47;382:2024-12-19 12:52:47;322:2024-12-19 12:52:47;292:2024-12-19 12:52:47;5:2024-12-19 12:52:47;9:2024-12-19 12:52:47
3613:2024-12-19 12:52:47;3689:2024-12-19 12:52:47;3720:2024-12-19 12:52:47;1:2024-12-19 12:52:47;15:2024-12-19 12:52:47;400:2024-12-19 12:52:47;333:2024-12-19 12:52:47;213:2024-12-19 12:52:47;5:2024-12-19 12:52:47;12:2024-12-19 12:52:47
3318:2024-12-19 12:52:47;3233:2024-12-19 12:52:47;3519:2024-12-19 12:52:47;2:2024-12-19 12:52:47;0:2024-12-19 12:52:47;212:2024-12-19 12:52:47;268:2024-12-19 12:52:47;371:2024-12-19 12:52:47;5:2024-12-19 12:52:47;15:2024-12-19 12:52:47
3378:2024-12-19 12:52:47;3365:2024-12-19 12:52:47;4003:2024-12-19 12:52:47;2:2024-12-19 12:52:47;3:2024-12-19 12:52:47;324:2024-12-19 12:52:47;395:2024-12-19 12:52:47;206:2024-12-19 12:52:47;6:2024-12-19 12:52:47;0:2024-12-19 12:52:47
3460:2024-12-19 12:52:47;4094:2024-12-19 12:52:47;3851:2024-12-19 12:52:47;2:2024-12-19 12:52:47;6:2024-12-19 12:52:47;336:2024-12-19 12:52:47;309:2024-12-19 12:52:47;367:2024-12-19 12:52:47;6:2024-12-19 12:52:47;3:2024-12-19 12:52:47
3489:2024-12-19 12:52:47;4120:2024-12-19 12:52:47;4135:2024-12-19 12:52:47;2:2024-12-19 12:52:47;9:2024-12-19 12:52:47;204:2024-12-19 12:52:47;300:2024-12-19 12:52:47;358:2024-12-19 12:52:47;6:2024-12-19 12:52:47;6:2024-12-19 12:52:47
3236:2024-12-19 12:52:47;4029:2024-12-19 12:52:47;3105:2024-12-19 12:52:47;2:2024-12-19 12:52:47;12:2024-12-19 12:52:47;442:2024-12-19 12:52:47;404:2024-12-19 12:52:47;325:2024-12-19 12:52:47;6:2024-12-19 12:52:47;9:2024-12-19 12:52:47
3598:2024-12-19 12:52:47;3944:2024-12-19 12:52:47;3651:2024-12-19 12:52:47;2:2024-12-19 12:52:47;15:2024-12-19 12:52:47;214:2024-12-19 12:52:47;202:2024-12-19 12:52:47;301:2024-12-19 12:52:47;6:2024-12-19 12:52:47;12:2024-12-19 12:52:47
4129:2024-12-19 12:52:47;3539:2024-12-19 12:52:47;3562:2024-12-19 12:52:47;3:2024-12-19 12:52:47;0:2024-12-19 12:52:47;386:2024-12-19 12:52:47;367:2024-12-19 12:52:47;312:2024-12-19 12:52:47;6:2024-12-19 12:52:47;15:2024-12-19 12:52:47
